population,respawn_time,mode,seed,run_tag,event,resource_type,timestamp,role_counts_at_discovery,agent_id,food_storage,last_role,wood_storage
4,90.0,static,1,pop4_respawn90.0_static_seed1,discovery,Food,15.6333333333328,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,static,1,pop4_respawn90.0_static_seed1,discovery,Wood,45.4333333333425,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,static,2,pop4_respawn90.0_static_seed2,discovery,Food,29.9499999999986,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,static,3,pop4_respawn90.0_static_seed3,discovery,Food,19.9166666666659,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,static,4,pop4_respawn90.0_static_seed4,discovery,Food,90.8666666666662,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,static,4,pop4_respawn90.0_static_seed4,death,,99.9999999999912,,43352327838,0.0,Explorer,0.0
4,90.0,static,4,pop4_respawn90.0_static_seed4,death,,99.9999999999912,,43822089928,0.0,Explorer,0.0
4,90.0,static,4,pop4_respawn90.0_static_seed4,death,,99.9999999999912,,44291851993,0.0,Gatherer,0.0
4,90.0,static,4,pop4_respawn90.0_static_seed4,death,,99.9999999999912,,44761614058,0.0,Gatherer,0.0
4,90.0,static,5,pop4_respawn90.0_static_seed5,discovery,Food,46.2666666666765,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,static,5,pop4_respawn90.0_static_seed5,discovery,Wood,59.4500000000203,"{""Explorer"":2,""Gatherer"":2}",,,,
8,10.0,dynamic,1,pop8_respawn10.0_dynamic_seed1,discovery,Wood,15.7833333333328,"{""Explorer"":5,""Unassigned"":3}",,,,
8,10.0,dynamic,1,pop8_respawn10.0_dynamic_seed1,discovery,Food,21.2499999999991,"{""Explorer"":5,""Gatherer"":3}",,,,
8,10.0,dynamic,2,pop8_respawn10.0_dynamic_seed2,discovery,Food,49.4000000000123,"{""Explorer"":5,""Unassigned"":3}",,,,
8,10.0,dynamic,2,pop8_respawn10.0_dynamic_seed2,discovery,Wood,89.7000000000006,"{""Explorer"":5,""Gatherer"":3}",,,,
8,10.0,dynamic,3,pop8_respawn10.0_dynamic_seed3,discovery,Wood,9.7833333333331,"{""Explorer"":5,""Unassigned"":3}",,,,
8,10.0,dynamic,3,pop8_respawn10.0_dynamic_seed3,discovery,Food,14.0499999999995,"{""Explorer"":5,""Gatherer"":3}",,,,
8,10.0,dynamic,3,pop8_respawn10.0_dynamic_seed3,death,,315.687499999795,,43822089928,113.0,Unassigned,66.0
8,10.0,dynamic,4,pop8_respawn10.0_dynamic_seed4,discovery,Food,16.4666666666661,"{""Explorer"":5,""Unassigned"":3}",,,,
8,10.0,dynamic,4,pop8_respawn10.0_dynamic_seed4,discovery,Wood,27.6999999999987,"{""Explorer"":5,""Gatherer"":3}",,,,
8,10.0,dynamic,5,pop8_respawn10.0_dynamic_seed5,discovery,Food,24.6166666666656,"{""Explorer"":5,""Unassigned"":3}",,,,
8,10.0,dynamic,5,pop8_respawn10.0_dynamic_seed5,discovery,Wood,91.4166666666657,"{""Explorer"":5,""Gatherer"":3}",,,,
8,10.0,static,1,pop8_respawn10.0_static_seed1,discovery,Food,19.9999999999992,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,1,pop8_respawn10.0_static_seed1,discovery,Wood,27.6999999999987,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,2,pop8_respawn10.0_static_seed2,discovery,Food,89.8000000000005,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,2,pop8_respawn10.0_static_seed2,discovery,Wood,97.6499999999934,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,2,pop8_respawn10.0_static_seed2,death,,99.9999999999912,,43352327838,4.0,Explorer,0.0
8,10.0,static,2,pop8_respawn10.0_static_seed2,death,,99.9999999999912,,43822089928,4.0,Explorer,0.0
8,10.0,static,2,pop8_respawn10.0_static_seed2,death,,99.9999999999912,,44291851993,4.0,Explorer,0.0
8,10.0,static,2,pop8_respawn10.0_static_seed2,death,,99.9999999999912,,44761614058,4.0,Explorer,0.0
8,10.0,static,3,pop8_respawn10.0_static_seed3,discovery,Wood,9.7833333333331,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,3,pop8_respawn10.0_static_seed3,discovery,Food,21.3333333333324,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,4,pop8_respawn10.0_static_seed4,discovery,Food,16.4333333333327,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,4,pop8_respawn10.0_static_seed4,discovery,Wood,43.6333333333411,"{""Explorer"":4,""Gatherer"":4}",,,,
8,10.0,static,5,pop8_respawn10.0_static_seed5,discovery,Food,28.783333333332,"{""Explorer"":4,""Gatherer"":4}",,,,
8,30.0,dynamic,1,pop8_respawn30.0_dynamic_seed1,discovery,Wood,15.7833333333328,"{""Explorer"":5,""Unassigned"":3}",,,,
8,30.0,dynamic,1,pop8_respawn30.0_dynamic_seed1,discovery,Food,21.2499999999991,"{""Explorer"":5,""Gatherer"":3}",,,,
8,30.0,dynamic,2,pop8_respawn30.0_dynamic_seed2,discovery,Food,49.4000000000123,"{""Explorer"":5,""Unassigned"":3}",,,,
8,30.0,dynamic,2,pop8_respawn30.0_dynamic_seed2,discovery,Wood,89.7000000000006,"{""Explorer"":5,""Gatherer"":3}",,,,
8,30.0,dynamic,3,pop8_respawn30.0_dynamic_seed3,discovery,Wood,9.7833333333331,"{""Explorer"":5,""Unassigned"":3}",,,,
8,30.0,dynamic,3,pop8_respawn30.0_dynamic_seed3,discovery,Food,14.0499999999995,"{""Explorer"":5,""Gatherer"":3}",,,,
8,30.0,dynamic,3,pop8_respawn30.0_dynamic_seed3,death,,315.687499999795,,43822089928,113.0,Unassigned,66.0
8,30.0,dynamic,4,pop8_respawn30.0_dynamic_seed4,discovery,Food,16.4666666666661,"{""Explorer"":5,""Unassigned"":3}",,,,
8,30.0,dynamic,4,pop8_respawn30.0_dynamic_seed4,discovery,Wood,27.6999999999987,"{""Explorer"":5,""Gatherer"":3}",,,,
8,30.0,dynamic,5,pop8_respawn30.0_dynamic_seed5,discovery,Food,24.6166666666656,"{""Explorer"":5,""Unassigned"":3}",,,,
8,30.0,dynamic,5,pop8_respawn30.0_dynamic_seed5,discovery,Wood,91.4166666666657,"{""Explorer"":5,""Gatherer"":3}",,,,
8,30.0,static,1,pop8_respawn30.0_static_seed1,discovery,Food,19.9999999999992,"{""Explorer"":4,""Gatherer"":4}",,,,
8,30.0,static,1,pop8_respawn30.0_static_seed1,discovery,Wood,27.6999999999987,"{""Explorer"":4,""Gatherer"":4}",,,,
8,30.0,static,2,pop8_respawn30.0_static_seed2,discovery,Food,89.8000000000005,"{""Explorer"":4,""Gatherer"":4}",,,,
